ID,Age,Gender,Department,Work_Mode,Current_Experience,Companies_Count,Education_Years,Total_Experience,Seniority,Monthly_Hours,Job_Satisfaction,Performance_Review,Salary
82,45.0,Male,Marketing,Office,10.0,2.0,14.0,22.0,Senior,157.0,5.0,9.0,24500.0
83,47.0,Male,Marketing,Hybrid,14.0,1.0,15.0,24.0,Senior,142.0,4.0,10.0,26200.0
84,26.0,Male,Support,Hybrid,0.0,1.0,12.0,0.0,,182.0,2.0,8.0,7900.0
85,38.0,Male,Marketing,Hybrid,3.0,5.0,16.0,5.0,Mid,175.0,3.0,8.0,14700.0
86,33.0,Female,Sales,Hybrid,1.0,6.0,17.0,5.0,Mid,169.0,3.0,7.0,17100.0
87,,Female,R&D,Office,2.0,1.0,19.0,2.0,Junior,183.0,1.0,,12300.0
88,51.0,Female,Finance,Remote,36.0,7.0,19.0,36.0,Manager,207.0,3.0,8.0,46600.0
89,46.0,Female,Sales,Remote,7.0,3.0,17.0,14.0,Senior,175.0,5.0,10.0,29200.0
90,22.0,Female,Marketing,Hybrid,4.0,4.0,14.0,4.0,Junior,165.0,1.0,7.0,9200.0
91,28.0,Female,Sales,Remote,1.0,4.0,15.0,6.0,Mid,173.0,5.0,9.0,17800.0
92,28.0,Male,Finance,Office,10.0,5.0,16.0,10.0,Mid,187.0,2.0,6.0,17800.0
93,30.0,Male,HR,Hybrid,4.0,1.0,15.0,5.0,Mid,160.0,3.0,7.0,13000.0
94,45.0,Male,Legal,Office,23.0,1.0,21.0,23.0,Senior,183.0,2.0,7.0,30700.0
95,44.0,Female,Finance,Hybrid,14.0,4.0,16.0,14.0,Senior,191.0,5.0,,33000.0
96,47.0,Female,Legal,Office,2.0,3.0,19.0,12.0,Senior,168.0,4.0,8.0,31600.0
97,29.0,Female,Finance,Hybrid,1.0,7.0,16.0,3.0,Junior,205.0,1.0,7.0,12300.0
98,34.0,Male,HR,Office,3.0,2.0,18.0,11.0,Mid,166.0,3.0,8.0,14100.0
99,48.0,Female,Marketing,Hybrid,14.0,4.0,16.0,43.0,Manager,213.0,2.0,6.0,32600.0
100,38.0,Male,Marketing,Office,6.0,1.0,15.0,18.0,Senior,173.0,5.0,8.0,23700.0
101,29.0,Male,R&D,Remote,0.0,3.0,16.0,7.0,Mid,169.0,4.0,9.0,21400.0
102,30.0,Male,Finance,Hybrid,0.0,6.0,18.0,4.0,Junior,180.0,3.0,8.0,11900.0
103,30.0,Male,,Office,3.0,3.0,17.0,11.0,Mid,162.0,3.0,8.0,17600.0
104,33.0,Male,R&D,Office,9.0,6.0,19.0,11.0,Mid,175.0,3.0,6.0,20000.0
105,35.0,Male,Marketing,Remote,3.0,5.0,16.0,11.0,Mid,145.0,5.0,7.0,15000.0
106,30.0,Male,Marketing,Office,2.0,1.0,15.0,2.0,Junior,162.0,2.0,7.0,9000.0
107,39.0,Female,Support,Hybrid,1.0,7.0,14.0,9.0,Mid,170.0,3.0,7.0,12000.0
108,35.0,Female,R&D,Hybrid,7.0,0.0,20.0,18.0,Senior,162.0,4.0,8.0,34400.0
109,49.0,Female,Marketing,Office,2.0,3.0,13.0,21.0,Senior,169.0,3.0,7.0,22300.0
110,28.0,Male,HR,Office,4.0,4.0,15.0,7.0,Mid,172.0,3.0,6.0,11900.0
111,30.0,Female,Legal,Hybrid,1.0,7.0,17.0,12.0,Mid,152.0,4.0,8.0,19100.0
112,29.0,Female,Support,Office,8.0,0.0,14.0,11.0,Mid,173.0,3.0,8.0,12800.0
113,38.0,Male,,Office,15.0,5.0,15.0,24.0,Senior,177.0,5.0,9.0,26500.0
114,29.0,Male,Legal,Office,1.0,2.0,18.0,5.0,Mid,157.0,5.0,7.0,19100.0
115,28.0,Male,Support,Office,7.0,4.0,13.0,10.0,Mid,145.0,4.0,8.0,12400.0
116,44.0,Male,Finance,Office,9.0,5.0,15.0,11.0,Senior,166.0,3.0,6.0,27900.0
117,39.0,Female,Finance,Remote,6.0,6.0,17.0,11.0,Mid,175.0,4.0,9.0,20400.0
118,24.0,Female,Sales,Hybrid,1.0,5.0,18.0,1.0,,185.0,3.0,7.0,10000.0
119,35.0,Male,HR,Hybrid,10.0,5.0,14.0,10.0,Mid,176.0,3.0,8.0,14100.0
120,40.0,Female,Sales,Office,1.0,1.0,13.0,9.0,Mid,205.0,1.0,6.0,14300.0
121,27.0,Female,R&D,Office,0.0,0.0,18.0,0.0,Junior,186.0,2.0,6.0,11800.0
122,40.0,Female,Legal,Remote,1.0,5.0,17.0,8.0,Mid,171.0,5.0,8.0,19100.0
123,48.0,Male,Sales,Hybrid,5.0,5.0,14.0,25.0,Manager,224.0,3.0,7.0,35400.0
124,47.0,Female,Sales,Office,6.0,5.0,15.0,19.0,Senior,187.0,,8.0,26100.0
125,22.0,Male,Support,Hybrid,0.0,4.0,14.0,0.0,Junior,171.0,2.0,6.0,7200.0
126,32.0,Female,HR,Hybrid,3.0,7.0,14.0,6.0,Mid,188.0,3.0,8.0,13000.0
127,34.0,Male,Sales,Remote,4.0,5.0,18.0,12.0,Mid,177.0,4.0,7.0,16900.0
128,35.0,Male,R&D,Office,21.0,3.0,16.0,21.0,,,4.0,6.0,30500.0
129,28.0,Female,Support,Hybrid,2.0,1.0,13.0,7.0,Mid,183.0,2.0,6.0,11500.0
130,22.0,Male,HR,Hybrid,0.0,0.0,15.0,1.0,Junior,166.0,2.0,6.0,7200.0
131,40.0,Male,,Remote,6.0,3.0,16.0,11.0,Mid,158.0,5.0,9.0,14600.0
132,47.0,Male,Marketing,Remote,2.0,5.0,17.0,39.0,Manager,168.0,5.0,10.0,38800.0
133,35.0,Female,Finance,Office,3.0,7.0,16.0,12.0,Mid,179.0,2.0,6.0,17600.0
134,48.0,Male,Legal,Hybrid,12.0,6.0,17.0,12.0,Senior,166.0,4.0,8.0,30400.0
135,39.0,Female,R&D,Hybrid,11.0,7.0,16.0,12.0,Mid,166.0,5.0,9.0,21600.0
136,43.0,Male,Finance,Hybrid,7.0,1.0,15.0,23.0,Senior,194.0,4.0,6.0,27900.0
137,36.0,Male,Support,Remote,9.0,7.0,14.0,14.0,Senior,147.0,5.0,9.0,20800.0
138,36.0,Male,Support,Remote,2.0,1.0,14.0,11.0,Senior,177.0,4.0,8.0,20200.0
139,47.0,Male,R&D,Office,9.0,7.0,17.0,11.0,Senior,145.0,5.0,7.0,31000.0
140,63.0,Male,HR,Office,33.0,7.0,18.0,33.0,Manager,202.0,1.0,8.0,33000.0
141,56.0,Male,Sales,Hybrid,29.0,,16.0,29.0,Manager,219.0,2.0,7.0,36700.0
142,40.0,Female,,Office,1.0,0.0,17.0,9.0,Mid,178.0,4.0,6.0,18800.0
143,37.0,Female,Support,Office,18.0,7.0,12.0,18.0,Senior,183.0,2.0,7.0,18900.0
144,35.0,Male,Finance,,1.0,0.0,16.0,18.0,Senior,182.0,4.0,10.0,33500.0
145,25.0,Male,Legal,Remote,1.0,4.0,18.0,1.0,Junior,175.0,,7.0,11000.0
146,38.0,Female,R&D,Office,6.0,6.0,17.0,9.0,Mid,161.0,4.0,8.0,22100.0
147,36.0,Male,HR,Hybrid,7.0,1.0,16.0,8.0,Mid,162.0,4.0,7.0,13200.0
148,33.0,Male,Legal,Office,8.0,5.0,17.0,11.0,Mid,194.0,1.0,6.0,16800.0
149,38.0,Female,Legal,Office,19.0,2.0,17.0,23.0,Senior,172.0,4.0,9.0,32100.0
150,48.0,Female,Legal,Office,19.0,3.0,19.0,23.0,Senior,181.0,4.0,9.0,32300.0
151,36.0,Female,Marketing,Office,9.0,0.0,16.0,20.0,Senior,175.0,4.0,9.0,24800.0
152,64.0,Male,Legal,Remote,7.0,1.0,3.0,21.0,Manager,193.0,5.0,9.0,47000.0
153,29.0,Male,Marketing,Remote,,6.0,18.0,11.0,Mid,135.0,4.0,8.0,15500.0
154,39.0,Female,Sales,Hybrid,10.0,5.0,14.0,24.0,Senior,189.0,4.0,8.0,25600.0
155,38.0,Male,Sales,Office,8.0,3.0,15.0,11.0,Senior,185.0,,8.0,26500.0
156,39.0,Male,Legal,Hybrid,3.0,2.0,20.0,5.0,Mid,181.0,3.0,7.0,18900.0
157,28.0,Male,HR,Office,1.0,3.0,17.0,3.0,Junior,160.0,1.0,7.0,8300.0
158,37.0,Male,Finance,Office,3.0,7.0,15.0,12.0,,199.0,2.0,6.0,17900.0
159,23.0,Female,Sales,Hybrid,1.0,2.0,15.0,2.0,Junior,170.0,2.0,7.0,10100.0
160,36.0,Female,Marketing,Hybrid,0.0,5.0,13.0,5.0,Mid,164.0,4.0,6.0,13900.0
161,40.0,Female,HR,Office,5.0,0.0,16.0,5.0,Mid,151.0,5.0,10.0,15400.0
162,42.0,Male,Legal,Office,18.0,4.0,19.0,18.0,Senior,157.0,5.0,7.0,
163,40.0,Male,HR,Remote,7.0,2.0,16.0,7.0,Mid,160.0,5.0,8.0,14300.0
164,49.0,Male,HR,Hybrid,22.0,0.0,15.0,25.0,Senior,186.0,4.0,7.0,20700.0
165,49.0,Male,R&D,Remote,1.0,3.0,17.0,,Senior,160.0,5.0,7.0,31700.0
166,36.0,Female,Finance,Remote,1.0,5.0,15.0,12.0,Mid,159.0,5.0,10.0,20200.0
167,34.0,Male,Legal,Hybrid,1.0,6.0,17.0,9.0,Mid,144.0,5.0,8.0,18500.0
168,41.0,Male,Finance,,9.0,3.0,19.0,16.0,Senior,193.0,3.0,6.0,29400.0
169,37.0,Male,Sales,Hybrid,5.0,3.0,12.0,6.0,Mid,177.0,3.0,6.0,14600.0
170,37.0,Female,Finance,Office,5.0,5.0,16.0,10.0,Senior,178.0,5.0,10.0,
171,29.0,Male,Support,Office,11.0,5.0,14.0,11.0,Mid,182.0,3.0,7.0,12000.0
172,36.0,Male,Marketing,Hybrid,3.0,4.0,15.0,5.0,Mid,168.0,3.0,7.0,14200.0
173,26.0,Male,Sales,Hybrid,0.0,1.0,17.0,4.0,Junior,181.0,2.0,8.0,9500.0
174,37.0,Female,Legal,Office,4.0,2.0,17.0,15.0,Senior,171.0,4.0,8.0,29200.0
175,32.0,Male,Finance,Hybrid,1.0,6.0,17.0,6.0,Mid,202.0,2.0,7.0,20000.0
176,32.0,Female,Marketing,Hybrid,1.0,5.0,16.0,7.0,Mid,173.0,2.0,7.0,15200.0
177,48.0,Female,Legal,,10.0,1.0,17.0,25.0,Senior,144.0,5.0,7.0,28100.0
178,33.0,Male,Legal,Office,0.0,3.0,18.0,10.0,Mid,160.0,4.0,7.0,18100.0
179,24.0,Female,Sales,Office,1.0,6.0,14.0,,Junior,181.0,1.0,7.0,
180,41.0,,Support,Office,18.0,4.0,13.0,24.0,Senior,180.0,3.0,9.0,21000.0
181,40.0,Female,Marketing,Hybrid,5.0,7.0,15.0,10.0,Mid,155.0,4.0,10.0,17100.0
182,46.0,Male,Support,Hybrid,29.0,7.0,15.0,29.0,Manager,196.0,4.0,7.0,28400.0
183,38.0,Male,Marketing,Hybrid,2.0,0.0,14.0,7.0,Mid,169.0,3.0,7.0,13900.0
184,30.0,Male,R&D,Office,2.0,4.0,16.0,9.0,Mid,182.0,2.0,7.0,21300.0
185,38.0,Male,Legal,Office,11.0,5.0,17.0,14.0,Senior,158.0,5.0,8.0,29700.0
186,41.0,Female,R&D,Office,3.0,1.0,18.0,13.0,Senior,172.0,4.0,8.0,34900.0
187,,Male,Marketing,Office,2.0,3.0,17.0,4.0,Junior,188.0,1.0,8.0,9700.0
188,31.0,Female,Marketing,Office,7.0,6.0,15.0,7.0,Mid,180.0,4.0,7.0,13800.0
189,29.0,Male,Support,Hybrid,1.0,6.0,12.0,3.0,Junior,177.0,2.0,6.0,6700.0
190,24.0,Female,Legal,Office,0.0,7.0,17.0,0.0,Junior,166.0,3.0,8.0,11500.0
191,25.0,Male,Finance,Hybrid,0.0,6.0,15.0,0.0,Junior,186.0,3.0,7.0,10800.0
192,39.0,Male,Legal,Hybrid,8.0,2.0,18.0,18.0,Senior,168.0,5.0,9.0,30800.0
193,39.0,Male,HR,Hybrid,11.0,4.0,14.0,11.0,Mid,180.0,4.0,8.0,13300.0
194,62.0,Female,Marketing,Office,0.0,1.0,17.0,29.0,Manager,201.0,1.0,6.0,33100.0
195,33.0,Male,Sales,Remote,10.0,1.0,14.0,12.0,Mid,167.0,4.0,7.0,16200.0
196,48.0,Male,Sales,Remote,10.0,7.0,17.0,22.0,Senior,195.0,5.0,9.0,28200.0
197,23.0,Male,Sales,Office,0.0,0.0,15.0,2.0,Junior,199.0,1.0,6.0,9400.0
198,42.0,Female,R&D,Hybrid,3.0,2.0,19.0,22.0,Senior,159.0,5.0,10.0,36900.0
199,58.0,Male,Finance,Remote,0.0,7.0,18.0,18.0,Manager,195.0,5.0,,48100.0
200,38.0,Female,Support,Hybrid,9.0,7.0,16.0,15.0,Senior,168.0,4.0,7.0,18800.0
201,50.0,Male,Finance,Office,12.0,6.0,17.0,12.0,Senior,194.0,3.0,9.0,31900.0
202,63.0,Female,R&D,Hybrid,26.0,1.0,16.0,26.0,Manager,185.0,5.0,9.0,51100.0
203,36.0,Female,Finance,Hybrid,3.0,2.0,15.0,7.0,Mid,176.0,3.0,9.0,19800.0
204,27.0,Male,Finance,Hybrid,0.0,3.0,17.0,2.0,Junior,195.0,2.0,6.0,10800.0
205,37.0,Male,Legal,Remote,1.0,5.0,20.0,10.0,Senior,166.0,5.0,8.0,31100.0
206,,Male,Sales,Hybrid,2.0,7.0,14.0,2.0,,161.0,4.0,,10700.0
207,32.0,Male,Marketing,Office,0.0,4.0,17.0,10.0,Mid,177.0,2.0,6.0,12700.0
208,39.0,Male,Sales,Hybrid,12.0,1.0,15.0,12.0,Mid,167.0,3.0,7.0,15700.0
209,40.0,Female,Finance,Hybrid,2.0,3.0,15.0,7.0,Mid,177.0,3.0,6.0,18800.0
210,,Male,Marketing,Office,0.0,7.0,14.0,1.0,Junior,165.0,1.0,6.0,8700.0
211,30.0,Female,Legal,Office,3.0,0.0,17.0,3.0,Junior,164.0,4.0,9.0,12300.0
212,47.0,Male,Support,Remote,30.0,2.0,12.0,30.0,Manager,177.0,5.0,8.0,28200.0
213,34.0,Female,HR,Hybrid,5.0,5.0,16.0,9.0,Mid,157.0,4.0,10.0,15000.0
214,28.0,Male,Marketing,Office,4.0,7.0,14.0,7.0,Mid,176.0,2.0,7.0,13800.0
215,47.0,Male,R&D,Office,0.0,7.0,17.0,10.0,Senior,150.0,5.0,9.0,35000.0
216,49.0,Male,,Hybrid,8.0,7.0,16.0,29.0,Manager,203.0,,7.0,37300.0
217,32.0,Male,Legal,Hybrid,11.0,3.0,20.0,11.0,Mid,179.0,4.0,7.0,19600.0
218,22.0,Male,Legal,Office,3.0,2.0,18.0,3.0,Junior,174.0,3.0,8.0,11900.0
219,43.0,Female,Sales,Hybrid,14.0,6.0,15.0,15.0,Senior,168.0,4.0,9.0,27800.0
220,,Female,Finance,Office,38.0,6.0,18.0,38.0,Manager,186.0,,8.0,45700.0
221,51.0,Male,Finance,Office,7.0,5.0,15.0,38.0,Manager,196.0,3.0,7.0,41900.0
222,,Male,Finance,Hybrid,8.0,2.0,15.0,18.0,Senior,158.0,5.0,9.0,30600.0
223,29.0,Male,Legal,Office,11.0,1.0,20.0,11.0,Mid,171.0,2.0,6.0,18100.0
224,32.0,Male,Finance,Remote,1.0,2.0,15.0,8.0,Mid,169.0,4.0,,16900.0
225,27.0,Male,Sales,Office,3.0,3.0,14.0,3.0,Junior,180.0,1.0,6.0,9100.0
226,37.0,Female,Marketing,Hybrid,21.0,0.0,15.0,21.0,Senior,176.0,5.0,7.0,23400.0
227,25.0,Female,Support,Office,1.0,1.0,13.0,3.0,Junior,180.0,2.0,6.0,7000.0
228,30.0,Female,Marketing,Office,0.0,4.0,16.0,9.0,Mid,172.0,2.0,7.0,14900.0
229,31.0,Male,R&D,Hybrid,5.0,0.0,16.0,8.0,Mid,167.0,4.0,9.0,23000.0
230,37.0,Female,Sales,Hybrid,6.0,7.0,15.0,12.0,Mid,176.0,2.0,6.0,15700.0
231,29.0,Female,Marketing,Hybrid,3.0,3.0,16.0,4.0,Junior,165.0,3.0,6.0,8500.0
232,31.0,Male,Sales,Hybrid,2.0,1.0,16.0,7.0,Mid,187.0,3.0,8.0,16100.0
233,41.0,,Legal,Hybrid,21.0,5.0,18.0,21.0,Senior,181.0,4.0,9.0,31400.0
234,48.0,Female,R&D,Hybrid,15.0,5.0,16.0,20.0,Senior,153.0,5.0,9.0,34800.0
235,40.0,Male,Legal,Hybrid,5.0,2.0,17.0,12.0,Mid,156.0,4.0,6.0,17300.0
236,47.0,Male,HR,Hybrid,30.0,6.0,14.0,30.0,Manager,194.0,4.0,9.0,31700.0
237,31.0,Male,HR,Hybrid,4.0,0.0,15.0,9.0,Mid,144.0,4.0,6.0,12500.0
238,23.0,Female,HR,Remote,0.0,1.0,15.0,0.0,Junior,163.0,4.0,8.0,
239,35.0,Male,Sales,Office,1.0,4.0,15.0,11.0,Mid,197.0,,9.0,17500.0
240,42.0,Female,Marketing,Hybrid,13.0,6.0,17.0,15.0,Senior,198.0,4.0,8.0,24900.0
241,28.0,Female,Sales,Office,0.0,4.0,13.0,10.0,Mid,185.0,3.0,7.0,15300.0
242,44.0,Female,Legal,Office,19.0,4.0,17.0,24.0,,180.0,4.0,7.0,28700.0
243,39.0,Male,Support,Hybrid,22.0,5.0,14.0,24.0,Senior,170.0,4.0,7.0,19700.0
244,61.0,Female,Legal,Remote,32.0,1.0,18.0,33.0,Manager,204.0,3.0,10.0,47900.0
245,29.0,Male,Marketing,Hybrid,3.0,0.0,12.0,6.0,Mid,164.0,3.0,6.0,12800.0
246,39.0,Male,Legal,Hybrid,0.0,2.0,17.0,9.0,Mid,173.0,3.0,7.0,18600.0
247,29.0,,Legal,Office,2.0,0.0,19.0,5.0,Mid,177.0,4.0,7.0,18500.0
248,41.0,Male,R&D,Hybrid,26.0,2.0,17.0,43.0,Manager,199.0,4.0,8.0,48800.0
249,50.0,Female,Finance,Remote,,0.0,16.0,21.0,Manager,190.0,5.0,7.0,42400.0
250,29.0,Male,HR,Office,3.0,0.0,17.0,10.0,Mid,153.0,4.0,8.0,14200.0
251,28.0,Male,Marketing,Office,1.0,1.0,13.0,1.0,Junior,182.0,2.0,6.0,8200.0
252,30.0,Male,Marketing,Hybrid,1.0,4.0,17.0,11.0,Mid,173.0,3.0,8.0,16300.0
253,26.0,Female,HR,Hybrid,2.0,6.0,12.0,4.0,Junior,170.0,2.0,6.0,7300.0
254,44.0,Female,Legal,Hybrid,21.0,4.0,18.0,21.0,Senior,180.0,3.0,7.0,29500.0
255,27.0,Female,R&D,Hybrid,0.0,4.0,17.0,2.0,Junior,180.0,4.0,9.0,13700.0
256,23.0,Male,Sales,Hybrid,1.0,6.0,15.0,4.0,Junior,189.0,3.0,7.0,10000.0
257,28.0,Male,Sales,Office,0.0,4.0,12.0,3.0,Junior,192.0,2.0,7.0,9300.0
